question,answer
"A 123 Robot name that appears green in the Classroom App indicates that ___.

","The firmware is up to date
"
"A 123 Robot name that appears red in the Classroom App indicates that ___.

","The firmware is out of date and needs to be updated
"
"A larger gear driving a smaller gear ______.","increases speed"
"A programming language is a spoken language used to communicate with the GO robot.

",False
"A programming language is a ______.
","set of rules in which symbols represent actions"
"A robot is defined as a ______.","device that can sense, think, and act"
"A Robot Skills match ______.
","includes one team and one robot"
"A sensor__________________________________________________________.","Allows the robot to take in information from its environment"
"A set of rules in which symbols represent actions is known as a __________________, and those robot actions are ___________________.","Programming language; behavior
"
"A smaller gear driving a larger gear ______.","increases torque"
"A student describing how they coded their robot to complete a challenge is an example of:
","Using spatial language
"
"A team of students is very frustrated that the pressing of the Bumper Switch seems to have no effect on the robot’s behavior. The teacher can see that the project has a few bugs or errors but only encourages them to decompose their project again to see where the bug(s) is. Which recommendation is this teacher following?
","Guide, don’t give"
"A user can change the behavior of a robot by changing the commands.

",True
"A VEX EXP Distance Sensor can be used to ______.
"," determine how far away an object is"
"A way of documenting the steps of a coding project in simple language is called ______.",Pseudocode
"A ______ is a non-qualifying VIQC event that provides a fun opportunity for students to test their robot designs.
",Scrimmage
"A ______ is a set of rules in which symbols represent actions.
","Programming language"
"A ______ is a specific action performed by a robot.
",behavior
"A ______ is an action that the robot performs based on the instructions it receives from code.",Behavior
"A ______, shown here, is used to allow a shaft to turn more smoothly.
","Low profile bearing flat"
"A(n) __________ is the point at which the linkages in a system should move no further to avoid strain or potential damage.

","mechanical limit"
"After teams head to their assigned field for a VIQC match, what should they do next?
","Place the robots in legal starting positions"
"Alaina is trying to detect blue Buckyballs using the Optical Sensor, but the sensor is not reading them as blue. What can Alaina change in this VEXcode EXP project to make it more accurate and repeatable?","Use a range of hue values rather than the <Detects color> block"
"All VEX 123 STEM Lab Units are organized around _______________ and _____________.
","Essential Questions and Unit Understandings

"
"Animations in STEM Labs provide ______.","a clear picture of the activity's goal for students and teachers"
"Anyone can teach computer science with VEX 123.
",True
"At competitions, it’s okay for an adult to fix a broken robot with no students actively participating.
",False
"At VIQC tournaments, it’s okay for an adult to fix a broken robot with no students actively participating.
",False
"Based on the starting position of the 123 Robot in this image, pressing the Move button 3 times and starting the project would solve which of the following equations?
","3+3 = 6
"
"Based on the starting position of the 123 Robot in this image, the sequence shown would drive the robot to which position along the parade route?
",2
"Based on the starting position of the 123 Robot in this image, the sequence shown would drive the robot to which position?
",4
"Based on this block,  on what axis and in which direction will the Workcell move from the start coordinate of (8, 0, 2)?
","The negative y-axis"
"Based on this block, how will the arm of the Workcell move from the start coordinate of (8, 0, 2)?
","In a straight line with x-values increasing."
"Based on this code snippet, how will the arm of the Workcell move from the start coordinate of (8, 0, 2)?
","In an 'L' shape with x-values and y-values increasing."
"Based on this code snippet, what x, y, and z coordinates will the arm on the Workcell move to?
","(10, -2, 2)"
"Based on this image from the build instructions, which piece(s) will be used in this step?","One 2x8 Beam"
"Based on this image from the build instructions, which pieces will be used in this step?","3 Orange Standoffs"
"Based on this image from the Frog Life Cycle build instructions, which slide in the build instructions should you start at to begin building the Tadpole with Legs adaptation?","Slide 12"
"Based on this image, how far away is the tool plate of the arm from the (0, 0, 0) point on the Workcell on the x-axis?
","About 10 inches"
"Based on this image, how many [If then] blocks would you need in your project to sort all the disks in the pick up location?
","Three, one for each of the colored disks (red, blue, and green)."
"Based on this image, how will a disk travel through the conveyors?
","The disk will start on the entry conveyor and travel on the transport conveyor."
"Based on this image, moving the arm along the ruler will affect what axis?
","The x-axis"
"Based on this image, the [Spin to position] block for the diverter is set to approximately what degrees?
","Approximately 90 degrees."
"Based on this image, which of the conveyors on the Workcell are being coded to spin?
","The entry conveyor."
"Based on this output from the Devices screen, what is the approximate arm motor position in degrees?",450
"Based on this output, what color disk does the Optical Sensor detect?
",Red
"Based on this VEXcode EXP project, what will happen when the Bumper Switch is pressed?
","The robot will turn right for 90 degrees"
"Based on this VEXcode EXP project, what will happen when the Distance Sensor is less than 50 millimeters away from an object?
","The robot will drive in reverse for 200 millimeters"
"Based on this VEXcode EXP project, what will happen when the Optical Sensor detects an object?
","The robot will turn right 90 degrees"
"Because the IQ 1st generation Distance Sensor uses sound waves to detect objects at a distance, the shape of the detectable area from the sensor can be described as _____________.
","A triangle that is narrow at the sensor, and widens further from the sensor

"
"Because the IQ 2nd generation Distance Sensor uses laser light pulses to detect objects at a distance, the shape of the detectable area from the sensor can be described as _____________.","A tunnel directly in front of the sensor

"
"Before starting When are the Workcell Extensions designed to be completed?
the STEM Labs","After the first 12 STEM Labs"
"By learning about computer science, young students are better able to explore the ______.
","high-tech world around them"
"Changing a command will change a robot’s ______.
",behavior
"Commands can be added to a project in VEXcode VR Python by _____ or _____","dragging and dropping from the Toolbox; typing in the Workspace"
"Conditions in a VEXcode IQ project ______.","always report a TRUE or FALSE value"
"Data from the Device information screen can be used to ______________________.
","Radio Gather details about devices connected to the V5 Brain
"
"Describe how the VR Robot is using the Down Eye Sensor in this project.
","To identify when the VR Robot is above a blue disk"
"Describe how the VR Robot will move in this project.
","The VR Robot will set the pen down, then drive forward for 200 mm and turn right for 90 degrees; and repeat this 4 times in order to draw a square"
"Describe why a [Forever] block is used in this project.
","To continously check if the VR Robot is near an object with detectable colors"
"Each Unit of the VEX V5 Workcell Educator Certification is designed to accompany which resource?
","The Workcell Extensions or one STEM Lab"
"Engineering notebooks can be used for the following:
","All of the above"
"Having adults involved in guided play often helps children to ________________________.","Be comfortable stretching or stepping outside their comfort zone to try something new and make the most of a learning experience."
"Holding up or passing around a Coder and Coder cards enables students and teachers to easily ______.
","share and discuss their coding projects"
"How are alliances formed for VIQC Qualification matches?
","They are randomly assigned"
"How are comments used in this project?
","To describe how the VR Robot will move to the number "23" on the Numbered Grid Map Playground"
"How are shafts used in the VEX IQ system?","Shafts provide connections between motors and parts/assemblies that can be spun or rotated"
"How are the values of colors chosen with the [Set pen color] block?","Sliders for Red, Blue, Green, and Opacity values"
"How can a Bumper Switch be used on a VEX EXP robot?
","To cause a behavior when it is pressed or released"
