Activity,Difficulty Level,CS Concept,Description,License Level,Playground,Key Programming Concepts,CSTA Standards
Distance Drive,1,Program Development,Explore the movement controls of the VR Robot.,Free,Grid Map,"Forward/ Reverse Movement, Turning","1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process. 1B-AP-15: Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended."
Basketball Drills,1,Control,Program the VR Robot to move forward and reverse to various distances.,Free,Grid Map,"Forward/ Reverse Movement, Turning","1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.
1B-AP-15: Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended."
Find Your Age,1,Program Development,Navigate the Number Grid Map to find your age using the VR Robot.,Free,Numbered Grid Map,"Forward/ Reverse Movement, Turning","1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.
1B-AP-15: Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended."
Color by Number,1,Modularity,Solve classic color by numbers puzzles using your VR Robot.,Enhanced/Premium,Art Canvas +,"Forward/ Reverse Movement, Turning, Drawing with the Pen ","1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.
1B-AP-15: Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended."
Winter Holiday Coloring Book,1,Modularity,Use your VR Robot to color in holiday images.,Enhanced/Premium,Art Canvas +,"Forward/ Reverse Movement, Turning, Drawing with the Pen ","1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.
1B-AP-15: Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended."
Life Cycles,1,Modularity,"Program your robot to show the life cycles of a butterfly, a frog, and a sunflower",Enhanced/Premium,Art Canvas +,"Forward/ Reverse Movement, Turning, Drawing with the Pen ","1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.
1B-DA-06:Organize and present collected data visually to highlight relationships and support a claim.
1B-DA-07: Use data to highlight or propose cause and-effect relationships, predict outcomes, or communicate an idea.
2-AP-13: Decompose problems and subproblems into parts to facilitate the design, implementation, andreview of programs. 
2-AP-10: Use flowcharts and/or pseudocode to address complex problems as algorithms. 
2-AP-13:  Decompose problems and subproblems into parts to facilitate the design, implementation, andreview of programs."
Color in Fractions,1,Modularity,Color in fractions of a circle with your VR Robot.,Enhanced/Premium,Art Canvas +,"Forward/ Reverse Movement, Turning, Drawing with the Pen ","1B-DA-06: Organize and present collected data visually to highlight relationships and support a claim.
1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.
1B-AP-15: Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended.
2-AP-10: Use flowcharts and/or pseudocode to address complex problems as algorithms.
2-AP-13: Decompose problems and subproblems into parts to facilitate the design, implementation and review of programs"
Crash Course,1,Modularity,"Program the robot to find the hidden tool, and use it to crash and clear the Castle and the Rocks!",Enhanced/Premium,Castle Crasher +,"Forward/Reverse Movement, Turning, Eye Sensor, Distance Sensor, Timer Value","1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process. 
1B-AP-15: Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended."
Crater Collection,1,Program Development,Code the VR Hero Robot to collect samples and rescue the Rover on the Stage 1 Field.,Premium,GO Competition – Mars Math Expedition,"Forward/Reverse Movement, Turning, Motor Controls","1B-AP-10: Develop programs with sequences and simple loops, to express ideas or address a problem.
1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process. 
1B-AP-15: Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended."
To the Lab!,1,Program Development,Code the VR Hero Robot to deliver samples to the Lab on the Stage 2 Field.,Premium,GO Competition – Mars Math Expedition,"Forward/Reverse Movement, Turning, Motor Controls","1B-AP-10: Develop programs with sequences and simple loops, to express ideas or address a problem.
1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process. 
1B-AP-15: Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended."
Touch Down,1,Program Development,Code the VR Hero Robot to clear the Landing Site and lift the Rocket Ship on the Stage 3 Field.,Premium,GO Competition – Mars Math Expedition,"Forward/Reverse Movement, Turning, Motor Controls","1B-AP-10: Develop programs with sequences and simple loops, to express ideas or address a problem.
1B-AP-11: Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process. 
1B-AP-15: Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended."
